is_valid,issues,metrics,path
True,[],"{'blur_score': 187.27854436612688, 'brightness': 117.04248714447021, 'contrast': 61.70280796996614, 'noise_level': 0.3785646644760803}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001088_021.png
True,[],"{'blur_score': 114.26896373420823, 'brightness': 118.17469692230225, 'contrast': 48.880585504910904, 'noise_level': 0.354007170667731}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001088_019.png
True,[],"{'blur_score': 70.08105888485079, 'brightness': 133.83850383758545, 'contrast': 66.54739530209642, 'noise_level': 0.6627385495152915}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001088_025.png
True,[],"{'blur_score': 174.98141102140534, 'brightness': 119.43809986114502, 'contrast': 47.0066647800556, 'noise_level': 0.3659043378677969}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001088_016.png
False,['too_blurry'],"{'blur_score': 24.716028817520964, 'brightness': 175.4559564590454, 'contrast': 45.444384004213994, 'noise_level': 0.2849318447239975}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001089_001.png
True,[],"{'blur_score': 63.63314579656799, 'brightness': 127.9334192276001, 'contrast': 67.56352916758276, 'noise_level': 0.5557862382153329}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001091_000.png
False,['too_blurry'],"{'blur_score': 13.645062840543687, 'brightness': 169.38163661956787, 'contrast': 43.81897892918159, 'noise_level': 0.2592046131329794}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001092_000.png
True,[],"{'blur_score': 133.3524089939856, 'brightness': 138.06951999664307, 'contrast': 64.91995702231486, 'noise_level': 0.2507224642910692}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001090_000.png
True,[],"{'blur_score': 160.89701808965765, 'brightness': 125.98695278167725, 'contrast': 53.12451610121316, 'noise_level': 0.4098206020000579}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001088_018.png
True,[],"{'blur_score': 68.31989689148031, 'brightness': 132.35595417022705, 'contrast': 64.78365393150412, 'noise_level': 0.6015772026339227}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001088_022.png
True,[],"{'blur_score': 225.47215147121094, 'brightness': 122.45088863372803, 'contrast': 52.33258012991694, 'noise_level': 0.35178968861366505}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001088_020.png
True,[],"{'blur_score': 56.334231756364716, 'brightness': 117.16553497314453, 'contrast': 72.11735065100983, 'noise_level': 0.5856690487747346}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001088_011.png
True,[],"{'blur_score': 70.19245117363971, 'brightness': 133.72196769714355, 'contrast': 69.17778971842608, 'noise_level': 0.6187534890422479}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001088_014.png
True,[],"{'blur_score': 164.79004918126157, 'brightness': 120.44279766082764, 'contrast': 50.758968095947964, 'noise_level': 0.35734299323824154}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001088_013.png
True,[],"{'blur_score': 96.82196842980555, 'brightness': 107.0398359298706, 'contrast': 60.214473404347885, 'noise_level': 0.3044496065912878}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001094_002.png
True,[],"{'blur_score': 200.39168613226136, 'brightness': 170.73153972625732, 'contrast': 67.69393586791573, 'noise_level': 0.3218318820432357}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001098_000.png
True,[],"{'blur_score': 67.64719634470288, 'brightness': 95.38149452209473, 'contrast': 70.14422046369555, 'noise_level': 0.49480208190935204}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001093_013.png
True,[],"{'blur_score': 164.40280107094074, 'brightness': 162.5030918121338, 'contrast': 58.02465809147625, 'noise_level': 0.31807168204499}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001093_007.png
True,[],"{'blur_score': 57.642417247879166, 'brightness': 127.00283622741699, 'contrast': 65.90837772792938, 'noise_level': 0.5579899210033699}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001096_002.png
True,[],"{'blur_score': 64.99210510164266, 'brightness': 103.09872150421143, 'contrast': 71.02597724248996, 'noise_level': 0.5171636925148114}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001093_008.png
True,[],"{'blur_score': 116.40870700646889, 'brightness': 134.32088470458984, 'contrast': 57.55516685870659, 'noise_level': 0.42009305561722043}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001101_001.png
True,[],"{'blur_score': 98.59112911327833, 'brightness': 104.34602451324463, 'contrast': 65.88231370697254, 'noise_level': 0.5440322633989892}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001093_011.png
True,[],"{'blur_score': 56.09711057622826, 'brightness': 126.83360481262207, 'contrast': 66.53976007364757, 'noise_level': 0.5474268828421454}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001096_000.png
True,[],"{'blur_score': 59.71333970905016, 'brightness': 109.02624797821045, 'contrast': 76.95545402032106, 'noise_level': 0.5192767801215268}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001101_003.png
True,[],"{'blur_score': 218.16158470786326, 'brightness': 149.15976905822754, 'contrast': 57.47281081762027, 'noise_level': 0.36259251402081527}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001100_002.png
True,[],"{'blur_score': 71.53614220323547, 'brightness': 152.64476203918457, 'contrast': 67.95375802797442, 'noise_level': 0.35355759458029057}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001097_000.png
True,[],"{'blur_score': 146.274208171395, 'brightness': 170.66545867919922, 'contrast': 53.583066230915975, 'noise_level': 0.3249767147723291}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001100_000.png
True,[],"{'blur_score': 73.95467955640925, 'brightness': 111.17742347717285, 'contrast': 66.60674095650447, 'noise_level': 0.5303913889451894}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001093_012.png
True,[],"{'blur_score': 75.24875849112868, 'brightness': 102.55802345275879, 'contrast': 69.5852099652003, 'noise_level': 0.5803599311620642}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001093_002.png
True,[],"{'blur_score': 74.91297098725045, 'brightness': 104.03959941864014, 'contrast': 70.18652109846586, 'noise_level': 0.5879243288183585}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001093_001.png
True,[],"{'blur_score': 98.8392313034128, 'brightness': 127.95113468170166, 'contrast': 52.37683895396904, 'noise_level': 0.2842910788057772}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001099_000.png
True,[],"{'blur_score': 61.356709793777554, 'brightness': 103.44815731048584, 'contrast': 74.08935810447154, 'noise_level': 0.5143214436915443}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001101_000.png
True,[],"{'blur_score': 184.70617691844245, 'brightness': 183.16928100585938, 'contrast': 52.3096024447449, 'noise_level': 0.27526215904613466}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001095_000.png
False,['too_blurry'],"{'blur_score': 39.260993609356774, 'brightness': 161.27454566955566, 'contrast': 47.42831101956137, 'noise_level': 0.3356345478914925}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001093_005.png
True,[],"{'blur_score': 75.24012309582653, 'brightness': 136.1605463027954, 'contrast': 61.70413040908978, 'noise_level': 0.6469891872101194}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001100_001.png
False,['too_blurry'],"{'blur_score': 33.61049941775491, 'brightness': 110.81166553497314, 'contrast': 32.78491138335224, 'noise_level': 0.4294607573573453}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001093_003.png
False,['too_blurry'],"{'blur_score': 25.533223596153217, 'brightness': 167.77753448486328, 'contrast': 44.86599939796143, 'noise_level': 0.2919196730475112}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001093_006.png
True,[],"{'blur_score': 130.522520760991, 'brightness': 107.31734466552734, 'contrast': 55.32768210456298, 'noise_level': 0.2982377369952071}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001094_001.png
True,[],"{'blur_score': 156.55759325972758, 'brightness': 115.39230537414551, 'contrast': 49.7035555682241, 'noise_level': 0.4393356321213799}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001101_002.png
True,[],"{'blur_score': 64.32257922313875, 'brightness': 91.3616590499878, 'contrast': 67.14956903130062, 'noise_level': 0.5259246265283817}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001093_010.png
False,['too_blurry'],"{'blur_score': 32.52605539456181, 'brightness': 103.43823719024658, 'contrast': 38.36765944830682, 'noise_level': 0.3955717598835272}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001093_004.png
True,[],"{'blur_score': 225.92807571347498, 'brightness': 162.6432466506958, 'contrast': 61.70874374697182, 'noise_level': 0.3281945436188227}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001093_009.png
True,[],"{'blur_score': 69.90499543227534, 'brightness': 115.00417137145996, 'contrast': 65.40272973802108, 'noise_level': 0.6341976675798783}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001094_003.png
True,[],"{'blur_score': 89.96274359223631, 'brightness': 134.32400035858154, 'contrast': 63.9844297560548, 'noise_level': 0.6325381558478581}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001096_001.png
True,[],"{'blur_score': 67.92883671170785, 'brightness': 126.04773330688477, 'contrast': 67.8469082277077, 'noise_level': 0.6004040650320873}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001094_000.png
True,[],"{'blur_score': 70.05682687315857, 'brightness': 134.34879970550537, 'contrast': 68.34133848235756, 'noise_level': 0.5449974120635745}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001101_004.png
True,[],"{'blur_score': 118.26530335843563, 'brightness': 153.6656847000122, 'contrast': 51.578684955228134, 'noise_level': 0.2889466311810118}",/content/drive/MyDrive/Chest_Xray_Dataset/images_001/images/00001104_005.png
